,name,norm,1Ub_PS,1Ub_base,1Ub_h1,1Ub_hx,1Uc_PS,1Uc_base,1Uc_h1,1Uc_hx,1Ip_PS,1Ip_base,1Ip_h1,1Ip_hx,1Iz_PS,1Iz_base,1Iz_h1,1Iz_hx,2Ub_PS,2Ub_base,2Ub_h1,2Ub_hx,2Uc_PS,2Uc_base,2Uc_h1,2Uc_hx,2Ip_PS,2Ip_base,2Ip_h1,2Ip_hx,2Iz_PS,2Iz_base,2Iz_h1,2Iz_hx,3Ub_PS,3Ub_base,3Ub_h1,3Ub_hx,3Uc_PS,3Uc_base,3Uc_h1,3Uc_hx,3Ip_PS,3Ip_base,3Ip_h1,3Ip_hx,3Iz_PS,3Iz_base,3Iz_h1,3Iz_hx,4Ub_PS,4Ub_base,4Ub_h1,4Ub_hx,4Ip_PS,4Ip_base,4Ip_h1,4Ip_hx,4Iz_PS,4Iz_base,4Iz_h1,4Iz_hx,5Ip_PS,5Ip_base,5Ip_h1,5Ip_hx,5Iz_PS,5Iz_base,5Iz_h1,5Iz_hx,6Ip_PS,6Ip_base,6Ip_h1,6Ip_hx,6Iz_PS,6Iz_base,6Iz_h1,6Iz_hx,dId_PS,dId_base,dId_h1
1495,37106df3d982873362b639fbd10a06ed,НЕТ,s,100,80.70529062453426,0.276606632441915,s,100,80.69542665374833,0.2758624039546825,s,шум,0.0075957476649346,0.0081703017501311,,,,,s,100,80.74742259881701,0.3778842917978566,p,?1,6.916380385355631,0.5161816726917025,s,шум,0.006482355382235,0.0090351707706286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,3711c188a284d1c53fd5d4a1ade1a88e,хз,s,шум,0.029498117733383,0.0412053378619822,s,шум,0.0310018238151728,0.0327808508116194,s,шум,0.0068362306749072,0.0078279896881501,,,,,s,шум,0.0243523756142363,0.0294101168539706,s,шум,0.0232279086957101,0.0319920664948728,s,шум,0.0069215556947486,0.0074004074166236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,371aab20370d7a46bf10ed43db4cdbf7,хз,s,100,141.41932715968176,0.040390203942479,s,100,141.4130054774958,0.0356749827509915,s,5,7.080407104351111,0.0079522012429576,,,,,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,371b4cfbdc503eca2808d67db99edeb6,ДА,s,100,141.26516838030307,39.04368116262847,,,,,s,5,1.568828289999804,0.6228806575450414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,3731b291d63aa0b6127956002d5ca393,хз,s,100,86.93742188784803,0.8383061945357285,,,,,s,шум,0.0067085050468866,0.0075150105272498,,,,,s,100,88.60198694285096,5.685019799540014,,,,,s,5,15.58033917741884,5.014477710877131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,3736bf36f15a4fb0f1cb053a54890a52,ДА,s,100,82.70725777665156,0.6714738332926856,,,,,s,5,0.5949996286514783,0.2813541688849381,,,,,s,100,82.81997323667726,0.7888099399105052,,,,,s,5,1.945361687654388,0.2762040967519646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,373c5383bc6f98223142049518600f49,хз,s,шум,0.0140106481438151,0.0214527320253803,,,,,s,шум,0.0069955983627855,0.0083198438868149,,,,,s,шум,0.0,0.0,,,,,s,шум,0.0067126011925034,0.0076999653753074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,37410eaf5c51c021a99eee9ee2d23b46,ДА,s,100,82.23313602094073,0.962785764107088,s,100,82.27418636727742,0.9354492336577572,s,5,0.0894147716730478,0.0337435592206549,,,,,s,100,81.84077970496051,0.4989898218509239,s,100,81.90633735255045,0.477104161749684,s,5,0.1036017589556616,0.035857070500259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,374562521492f832597f60baa1ff6a0f,ДА,s,100,85.67349868023359,6.69658935111388,s,100,144.5026764924922,66.26903662204032,s,5,0.5006322525112434,0.1601068890231486,,,,,s,100,84.78972357481788,2.2032934380255838,s,100,145.1895170738141,2.536668513841114,s,5,1.4153084927043256,0.4243949037866212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,374597549b82b7e5fb42834c9140e31b,ДА,s,100,84.30923068851699,13.256151887774998,s,100,95.25282401938848,17.33905438583201,s,5,1.948784205663352,0.4181324572875393,,,,,s,100,83.22623216984968,12.386505716853458,s,100,90.61509012011072,11.878101719531896,s,5,2.231161152457673,0.4664030747196065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,374e92e68e774ca9587c0cc42317b3f1,НЕТ,s,100,85.41439459077493,1.982178613290495,,,,,s,5,0.6038210145886096,0.2012024711212631,,,,,s,100,85.09256559595521,1.832655759088606,,,,,p,?1,0.0373441084499949,0.0170406134944828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,37571808e61f3c09f30b3944deaf4d1a,raw,,,,,p,?1,0.2614034765126351,0.0155652477823345,s,5,0.0572450133499228,0.030607363719097,,,,,,,,,p,?1,0.2709696583257295,0.1121327231722928,s,шум,0.0002390148849701,0.0002931796920565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,3758e48d481ea118a23a0e6d908e5c80,НЕТ,p,?1,6.504238358745291,0.8848523331259329,,,,,s,шум,0.0067795186769292,0.0075748005208536,,,,,s,шум,0.0149154333326546,0.0292126446819502,,,,,s,шум,0.0074862368409717,0.008348552395155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,375aa53fe5b8ba6ea2f1f1b1514fc873,ДА,s,100,85.56581333446756,1.1457693123207884,,,,,s,5,26.71079974301174,7.522996196228685,,,,,s,100,84.763947362967,0.5981251098205692,,,,,s,5,0.289126575877661,0.0155820080645471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,3760b8da458e112356abe875d5828567,ДА,,,,,,,,,s,5,1.291072030415554,0.4558251477242956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,37652cba8b818c5b1f73a3fae498d2c7,raw,,,,,p,?1,0.2664691931493078,0.1035321089869219,s,5,0.0584686411856327,0.0224722263064078,,,,,,,,,p,?1,0.2691651480519685,0.1119662785809246,s,шум,0.0003026654964067,0.0002493594934075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,3769471fed761cca99b149b3164fb0ec,НЕТ,s,шум,0.0112507056635791,0.0128112524124857,s,шум,0.0108997536088193,0.0133482743066659,s,?2,1.7452492372263644,2.6685711049464538,,,,,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,3771a357c0673b58eb476cc83f2bd4ad,хз,s,100,141.45779911342495,0.0310858388655754,s,100,141.44878345443854,0.0296012716494816,s,5,7.072942360763591,0.0107929906586489,s,шум,7.090540859433549,0.0061015035379395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,377567ce7e3a3af5fc763db2cc0450ba,хз,s,100,147.7089268033917,2.988910435488835,,,,,s,шум,0.0062045811619111,0.0078847417862034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,377ed53d3de0d96ad27a88be22201226,хз,s,шум,0.0124852527310982,0.0154177961990739,,,,,s,шум,0.0070263523466126,0.0079334479490234,,,,,s,шум,0.0190770008053591,0.0557715240851445,,,,,s,шум,0.0068209251049927,0.0076168617946843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
